Mod:Item:MetaData, Localized Name
qmd:waste_spallation:15, Iridium Spallation Waste
qmd:waste_spallation2:0, Osmium Spallation Waste
qmd:waste_spallation2:1, Tungsten Spallation Waste
qmd:waste_spallation2:2, Hafnium Spallation Waste
qmd:waste_spallation2:3, Mercury Spallation Waste
qmd:sword_tungsten_carbide, Tungsten Carbide Sword
qmd:pickaxe_tungsten_carbide, Tungsten Carbide Pickaxe
qmd:shovel_tungsten_carbide, Tungsten Carbide Shovel
qmd:axe_tungsten_carbide, Tungsten Carbide Axe
qmd:hoe_tungsten_carbide, Tungsten Carbide Hoe
qmd:flesh, Not So Rotten Flesh
qmd:luminous_paint:0, Green Radioluminescent Paint
qmd:luminous_paint:1, Blue Radioluminescent Paint
qmd:luminous_paint:2, Orange Radioluminescent Paint
qmd:cell:0, Empty Cell
qmd:cell:1, Anti-Hydrogen Cell
qmd:cell:2, Anti-Deuterium Cell
qmd:cell:3, Anti-Tritium Cell
qmd:cell:4, Anti-Helium-3 Cell
qmd:cell:5, Anti-Helium Cell
qmd:cell:6, Positronium Cell
qmd:cell:7, Muonium Cell
qmd:cell:8, Tauonium Cell
qmd:cell:9, Glueball Cell
qmd:lepton_cannon, Lepton Cannon
qmd:gluon_gun, Gluon Gun
qmd:antimatter_launcher, Antimatter Launcher
qmd:copernicium:0, Copernicium-291
qmd:copernicium:1, Copernicium-291 Carbide
qmd:copernicium:2, Copernicium-291 Oxide
qmd:copernicium:3, Copernicium-291 Nitride
qmd:copernicium:4, Copernicium-291-Zirconium Alloy
qmd:pellet_copernicium:0, MIX-291
qmd:pellet_copernicium:1, MIX-291 Carbide
qmd:fuel_copernicium:0, MTRISO-291 Fuel Pebble
qmd:fuel_copernicium:1, MOX-291 Oxide Fuel Pellet
qmd:fuel_copernicium:2, MNI-291 Fuel Pellet
qmd:fuel_copernicium:3, MZA-291 Fuel Pellet
qmd:depleted_fuel_copernicium:0, Depleted MTRISO-291 Fuel Pebble
qmd:depleted_fuel_copernicium:1, Depleted MOX-291 Fuel Pellet
qmd:depleted_fuel_copernicium:2, Depleted MNI-291 Fuel Pellet
qmd:depleted_fuel_copernicium:3, Depleted MZA-291 Fuel Pellet
qmd:helm_hev, HEV Helmet
qmd:chest_hev, HEV Chestplate
qmd:legs_hev, HEV Leggings
qmd:boots_hev, HEV Boots
qmd:fluid_hydrochloric_acid, Hydrochloric Acid
qmd:fluid_nitric_acid, Nitric Acid
qmd:fluid_sodium_chloride_solution, Sodium Chloride Solution
qmd:fluid_sodium_nitrate_solution, Sodium Nitrate Solution
qmd:fluid_lead_nitrate_solution, Lead Nitrate Solution
qmd:fluid_sodium_tungstate_solution, Sodium Tungstate Solution
qmd:fluid_lead_tungstate_solution, Lead Tungstate Solution
qmd:fluid_liquid_hydrogen, Liquid Hydrogen
qmd:fluid_liquid_argon, Liquid Argon
qmd:fluid_liquid_neon, Liquid Neon
qmd:fluid_liquid_oxygen, Liquid Oxygen
qmd:fluid_mercury, Mercury
qmd:fluid_hot_mercury, Hot Mercury
qmd:fluid_iodine, Liquid Iodine
qmd:fluid_argon, Argon
qmd:fluid_neon, Neon
qmd:fluid_chlorine, Chlorine
qmd:fluid_nitric_oxide, Nitric Oxide
qmd:fluid_nitrogen_dioxide, Nitrogen Dioxide
qmd:fluid_compressed_air, Compressed Air
qmd:fluid_silicon, Molten Silicon
qmd:fluid_yag, Molten Yttrium Aluminum Garnet
qmd:fluid_nd_yag, Molten Neodymium Doped YAG
qmd:fluid_tungsten, Molten Tungsten
qmd:fluid_niobium, Molten Niobium
qmd:fluid_chromium, Molten Chromium
qmd:fluid_titanium, Molten Titanium
qmd:fluid_cobalt, Molten Cobalt
qmd:fluid_nickel, Molten Nickel
qmd:fluid_hafnium, Molten Hafnium
qmd:fluid_zinc, Molten Zinc
qmd:fluid_osmium, Molten Osmium
qmd:fluid_iridium, Molten Iridium
qmd:fluid_platinum, Molten Platinum
qmd:fluid_calcium, Molten Calcium
qmd:fluid_strontium, Molten Strontium
qmd:fluid_yttrium, Molten Yttrium
qmd:fluid_neodymium, Molten Neodymium
qmd:fluid_samarium, Molten Samarium
qmd:fluid_terbium, Molten Terbium
qmd:fluid_erbium, Molten Erbium
qmd:fluid_ytterbium, Molten Ytterbium
qmd:fluid_bismuth, Molten Bismuth
qmd:fluid_polonium, Molten Polonium
qmd:fluid_radium, Molten Radium
qmd:fluid_antihydrogen, Anti-Hydrogen
qmd:fluid_antideuterium, Anti-Deuterium
qmd:fluid_antitritium, Anti-Tritium
qmd:fluid_antihelium3, Anti-Helium-3
qmd:fluid_antihelium, Anti-Helium
qmd:fluid_positronium, Positronium
qmd:fluid_muonium, Muonium
qmd:fluid_tauonium, Tauonium
qmd:fluid_glueballs, Glueballs
randomthings:fertilizeddirt, Fertilized Dirt
randomthings:fertilizeddirttilled, Fertilized Dirt
randomthings:playerinterface, Player Interface
randomthings:creativeplayerinterface, Creative Player Interface
randomthings:lapisglass, Lapis Glass
randomthings:lapislamp, Lapis Lamp
randomthings:dyeingmachine, Dyeing Machine
randomthings:onlinedetector, Online Detector
randomthings:chatdetector, Chat Detector
randomthings:enderbridge, Ender Bridge
randomthings:prismarineenderbridge, Prismarine Ender Bridge
randomthings:enderanchor, Ender Anchor
randomthings:beanstalk, Magic Bean Stalk
randomthings:lesserbeanstalk, Lesser Bean Stalk
randomthings:beanpod, Bean Pod
randomthings:lightredirector, Light Redirector
randomthings:imbuingstation, Imbuing Station
randomthings:spectreblock, Spectre Block
randomthings:specialchest:0, Nature Chest
randomthings:specialchest:1, Water Chest
randomthings:analogemitter, Analog Emitter
randomthings:fluiddisplay, Fluid Display
randomthings:customworkbench, Crafting Table
randomthings:endermailbox, Ender Mailbox
randomthings:pitcherplant, Pitcher Plant
randomthings:platform:0, Oak Platform
randomthings:platform:1, Spruce Platform
randomthings:platform:2, Birch Platform
randomthings:platform:3, Jungle Platform
randomthings:platform:4, Acacia Platform
randomthings:platform:5, Dark Oak Platform
randomthings:entitydetector, Entity Detector
randomthings:quartzlamp, Quartz Lamp
randomthings:quartzglass, Quartz Glass
randomthings:potionvaporizer, Potion Vaporizer
randomthings:voxelprojector, [WIP] Voxel Projector
randomthings:contactbutton, Contact Button
randomthings:contactlever, Contact Lever
randomthings:sakanade, Sakanade
randomthings:rainshield, Rain Shield
randomthings:blockbreaker, Block Breaker
randomthings:superlubricentice, Superlubricent Ice
randomthings:compressedslimeblock, Compressed Slime Block
randomthings:superlubricentplatform, Super Lubricent Platform
randomthings:filteredsuperlubricentplatform, Filtered Super Lubricent Platform
randomthings:redstoneobserver, Redstone Observer
randomthings:biomeradar, Biome Radar
randomthings:irondropper, Iron Dropper
randomthings:igniter, Igniter
randomthings:blockofsticks:0, Block of Sticks
randomthings:blockofsticks:1, Returning Block of Sticks
randomthings:blazingfire, tile.blazingFire.name
randomthings:luminousblock:0, White Luminous Block
randomthings:luminousblock:1, Orange Luminous Block
randomthings:luminousblock:2, Magenta Luminous Block
randomthings:luminousblock:3, Light Blue Luminous Block
randomthings:luminousblock:4, Yellow Luminous Block
randomthings:luminousblock:5, Lime Luminous Block
randomthings:luminousblock:6, Pink Luminous Block
randomthings:luminousblock:7, Gray Luminous Block
randomthings:luminousblock:8, Light Gray Luminous Block
randomthings:luminousblock:9, Cyan Luminous Block
randomthings:luminousblock:10, Purple Luminous Block
randomthings:luminousblock:11, Blue Luminous Block
randomthings:luminousblock:12, Brown Luminous Block
randomthings:luminousblock:13, Green Luminous Block
randomthings:luminousblock:14, Red Luminous Block
randomthings:luminousblock:15, Black Luminous Block
randomthings:translucentluminousblock:0, White Translucent Luminous Block
randomthings:translucentluminousblock:1, Orange Translucent Luminous Block
randomthings:translucentluminousblock:2, Magenta Translucent Luminous Block
randomthings:translucentluminousblock:3, Light Blue Translucent Luminous Block
randomthings:translucentluminousblock:4, Yellow Translucent Luminous Block
randomthings:translucentluminousblock:5, Lime Translucent Luminous Block
randomthings:translucentluminousblock:6, Pink Translucent Luminous Block
randomthings:translucentluminousblock:7, Gray Translucent Luminous Block
randomthings:translucentluminousblock:8, Light Gray Translucent Luminous Block
randomthings:translucentluminousblock:9, Cyan Translucent Luminous Block
randomthings:translucentluminousblock:10, Purple Translucent Luminous Block
randomthings:translucentluminousblock:11, Blue Translucent Luminous Block
randomthings:translucentluminousblock:12, Brown Translucent Luminous Block
randomthings:translucentluminousblock:13, Green Translucent Luminous Block
randomthings:translucentluminousblock:14, Red Translucent Luminous Block
randomthings:translucentluminousblock:15, Black Translucent Luminous Block
randomthings:inventoryrerouter, Inventory Rerouter
randomthings:slimecube, §aSlime Cube§7
randomthings:peacecandle, Peace Candle
randomthings:notificationinterface, Notification Interface
randomthings:glowingmushroom, Glowing Mushroom
randomthings:inventorytester, Inventory Tester
randomthings:superlubricentstone, Super Lubricent Stone
randomthings:globalchatdetector, Global Chat Detector
randomthings:triggerglass, Trigger Glass
randomthings:blockdestabilizer, Block Destabilizer
randomthings:lotus, Lotus
randomthings:ancientbrick, Ancient Brick [INTERNAL]
randomthings:soundbox, Sound Box
randomthings:sounddampener, Sound Dampener
randomthings:diaphanousblock, Diaphanous Block
randomthings:sidedredstone, Sided Block of Redstone
randomthings:spectrelens, Spectre Lens
randomthings:spectreenergyinjector, Spectre Energy Injector
randomthings:plate_processing, Processing Plate
randomthings:spectrecoil_normal, Spectre Coil
randomthings:spectrecoil_redstone, Redstone Spectre Coil
randomthings:spectrecoil_ender, Ender Spectre Coil
randomthings:spectrecoil_number, Spectre Coil Nr. %s
randomthings:spectrecoil_genesis, Genesis Spectre Coil
randomthings:advancedredstonerepeater, Advanced Redstone Repeater
randomthings:advancedredstonetorch_on, Advanced Redstone Torch
randomthings:floobrick, Floo Brick
randomthings:spectreplank, Spectre Planks
randomthings:spectresapling, Spectre Sapling
randomthings:spectrelog, Spectre Wood
randomthings:spectreleaf, Spectre Leaves
randomthings:itemcollector, Item Collector
randomthings:advanceditemcollector, Advanced Item Collector
randomthings:naturecore, Nature Core
randomthings:biomestone:0, Biome Cobblestone
randomthings:biomestone:1, Biome Stone
randomthings:biomestone:2, Biome Stone Bricks
randomthings:biomestone:3, Cracked Biome Stone Bricks
randomthings:biomestone:4, Chiseled Biome Stone Bricks
randomthings:biomeglass, Biome Glass
randomthings:coloredgrass:0, White Grass
randomthings:coloredgrass:1, Orange Grass
randomthings:coloredgrass:2, Magenta Grass
randomthings:coloredgrass:3, Light Blue Grass
randomthings:coloredgrass:4, Yellow Grass
randomthings:coloredgrass:5, Lime Grass
randomthings:coloredgrass:6, Pink Grass
randomthings:coloredgrass:7, Gray Grass
randomthings:coloredgrass:8, Light Gray Grass
randomthings:coloredgrass:9, Cyan Grass
randomthings:coloredgrass:10, Purple Grass
randomthings:coloredgrass:11, Blue Grass
randomthings:coloredgrass:12, Brown Grass
randomthings:coloredgrass:13, Green Grass
randomthings:coloredgrass:14, Red Grass
randomthings:coloredgrass:15, Black Grass
randomthings:spectrecore, Spectre Core
randomthings:rainbowlamp, Rainbow Lamp
randomthings:basicredstoneinterface, Basic Redstone Interface
randomthings:advancedredstoneinterface, Advanced Redstone Interface
randomthings:stainedbrick:0, White Stained Bricks
randomthings:stainedbrick:1, Orange Stained Bricks
randomthings:stainedbrick:2, Magenta Stained Bricks
randomthings:stainedbrick:3, Light Blue Stained Bricks
randomthings:stainedbrick:4, Yellow Stained Bricks
randomthings:stainedbrick:5, Lime Stained Brickss
randomthings:stainedbrick:6, Pink Stained Bricks
randomthings:stainedbrick:7, Gray Stained Bricks
randomthings:stainedbrick:8, Light Gray Stained Bricks
randomthings:stainedbrick:9, Cyan Stained Bricks
randomthings:stainedbrick:10, Purple Stained Bricks
randomthings:stainedbrick:11, Blue Stained Bricks
randomthings:stainedbrick:12, Brown Stained Bricks
randomthings:stainedbrick:13, Green Stained Bricks
randomthings:stainedbrick:14, Red Stained Bricks
randomthings:stainedbrick:15, Black Stained Bricks
randomthings:luminousstainedbrick:0, Luminous White Stained Bricks
randomthings:luminousstainedbrick:1, Luminous Orange Stained Bricks
randomthings:luminousstainedbrick:2, Luminous Magenta Stained Bricks
randomthings:luminousstainedbrick:3, Luminous Light Blue Stained Bricks
randomthings:luminousstainedbrick:4, Luminous Yellow Stained Bricks
randomthings:luminousstainedbrick:5, Luminous Lime Stained Bricks
randomthings:luminousstainedbrick:6, Luminous Pink Stained Bricks
randomthings:luminousstainedbrick:7, Luminous Gray Stained Bricks
randomthings:luminousstainedbrick:8, Luminous Light Gray Stained Bricks
randomthings:luminousstainedbrick:9, Luminous Cyan Stained Bricks
randomthings:luminousstainedbrick:10, Luminous Purple Stained Bricks
randomthings:luminousstainedbrick:11, Luminous Blue Stained Bricks
randomthings:luminousstainedbrick:12, Luminous Brown Stained Bricks
randomthings:luminousstainedbrick:13, Luminous Green Stained Bricks
randomthings:luminousstainedbrick:14, Luminous Red Stained Bricks
randomthings:luminousstainedbrick:15, Luminous Black Stained Bricks
randomthings:plate_redirector, Redirector Plate
randomthings:plate_filteredredirector, Filtered Redirector Plate
randomthings:plate_redstone, Redstone Plate
randomthings:plate_corrector, Corrector Plate
randomthings:plate_itemsealer, Item Sealer Plate
randomthings:plate_itemrejuvenator, Item Rejuvenator Plate
randomthings:plate_accelerator, Accelerator Plate
randomthings:plate_accelerator_directional, Directional Accelerator Plate
randomthings:plate_bouncy, Bouncy Plate
randomthings:plate_collection, Collection Plate
randomthings:plate_extraction, Extraction Plate
randomthings:stableenderpearl, Stable Ender Pearl
randomthings:biomecrystal, Biome Crystal
randomthings:positionfilter, Position Filter
randomthings:summoningpendulum, Summoning Pendulum
randomthings:beans:0, Bean
randomthings:beans:1, Lesser Magic Bean
randomthings:beans:2, Magic Bean
randomthings:beanstew, Bean Stew
randomthings:redstonetool, Redstone Tool
randomthings:waterwalkingboots, Water Walking Boots
randomthings:dungeonchestgenerator, Loot Generator
randomthings:lavacharm, Lava Charm
randomthings:lavawader, Lava Waders
randomthings:obsidianskull, Obsidian Skull
randomthings:obsidianskullring, Obsidian Skull Ring
randomthings:obsidianwaterwalkingboots, Obsidian Water Walking Boots
randomthings:magichood, Magic Hood
randomthings:imbue:0, Fire Imbue
randomthings:imbue:1, Poison Imbue
randomthings:imbue:2, Experience Imbue
randomthings:imbue:3, Wither Imbue
randomthings:bottleofair, Bottle of Air
randomthings:rezstone, Blood Stone
randomthings:enderletter, Ender Letter
randomthings:entityfilter, Entity Filter
randomthings:ingredient:0, Sakanade Spores
randomthings:ingredient:1, Evil Tear
randomthings:ingredient:2, Ectoplasm
randomthings:ingredient:3, Spectre Ingot
randomthings:ingredient:4, Biome Sensor
randomthings:ingredient:5, Luminous Powder
randomthings:ingredient:6, Super Lubricent Tincture
randomthings:ingredient:7, Floo Powder
randomthings:ingredient:8, Plate Base
randomthings:ingredient:9, Precious Emerald
randomthings:ingredient:10, Lotus Blossom
randomthings:ingredient:11, Golden Egg
randomthings:ingredient:12, Spectre String
randomthings:ingredient:13, Blackout Powder
randomthings:itemfilter, Item Filter
randomthings:redstoneactivator, Redstone Activator
randomthings:redstoneremote, Redstone Remote
randomthings:goldencompass, Golden Compass
randomthings:blazeandsteel, Blaze and Steel
randomthings:runepattern, Rune Pattern
randomthings:superlubricentboots, Super Lubricent Boots
randomthings:floosign, Floo Sign
randomthings:idcard, ID Card
randomthings:emeraldcompass, Emerald Compass
randomthings:flootoken, Floo Token
randomthings:portkey, Portkey
randomthings:lotusseeds, Lotus Seeds
randomthings:soundpattern, Sound Pattern
randomthings:soundrecorder, Sound Recorder
randomthings:portablesounddampener, Portable Sound Dampener
randomthings:escaperope, Escape Rope
randomthings:weatheregg:0, Weather Egg <Sun>
randomthings:weatheregg:1, Weather Egg <Rain>
randomthings:weatheregg:2, Weather Egg <Storm>
randomthings:enderbucket, Ender Bucket
randomthings:reinforcedenderbucket, Reinforced Ender Bucket
randomthings:chunkanalyzer, Chunk Analyzer
randomthings:floopouch, Floo Pouch
randomthings:timeinabottle, Time in a bottle
randomthings:spectreilluminator, Spectre Illuminator
randomthings:spectrecharger:0, Spectre Charger
randomthings:spectrecharger:1, Redstone Spectre Charger
randomthings:spectrecharger:2, Ender Spectre Charger
randomthings:spectrecharger:3, Genesis Spectre Charger
randomthings:eclipsedclock, Eclipsed Clock
randomthings:grassseeds:0, Grass Seeds
randomthings:grassseeds:1, White Grass Seeds
randomthings:grassseeds:2, Orange Grass Seeds
randomthings:grassseeds:3, Magenta Grass Seeds
randomthings:grassseeds:4, Light Grass Seeds
randomthings:grassseeds:5, Yellow Grass Seeds
randomthings:grassseeds:6, Lime Grass Seeds
randomthings:grassseeds:7, Pink Grass Seeds
randomthings:grassseeds:8, Gray Grass Seeds
randomthings:grassseeds:9, Light Gray Grass Seeds
randomthings:grassseeds:10, Cyan Grass Seeds
randomthings:grassseeds:11, Purple Grass Seeds
randomthings:grassseeds:12, Blue Grass Seeds
randomthings:grassseeds:13, Brown Grass Seeds
randomthings:grassseeds:14, Green Grass Seeds
randomthings:grassseeds:15, Red Grass Seeds
randomthings:grassseeds:16, Black Grass Seeds
randomthings:spectrekey, Spectre Key
randomthings:spectreanchor, Spectre Anchor
randomthings:spectresword, Spectre Sword
randomthings:spectrepickaxe, Spectre Pickaxe
randomthings:spectreaxe, Spectre Axe
randomthings:spectreshovel, Spectre Shovel
randomthings:runedust:0, White Runic Dust
randomthings:runedust:1, Orange Runic Dust
randomthings:runedust:2, Magenta Runic Dust
randomthings:runedust:3, Light Blue Runic Dust
randomthings:runedust:4, Yellow Runic Dust
randomthings:runedust:5, Lime Runic Dust
randomthings:runedust:6, Pink Runic Dust
randomthings:runedust:7, Gray Runic Dust
randomthings:runedust:8, Silver Runic Dust
randomthings:runedust:9, Cyan Runic Dust
randomthings:runedust:10, Purple Runic Dust
randomthings:runedust:11, Blue Runic Dust
randomthings:runedust:12, Brown Runic Dust
randomthings:runedust:13, Green Runic Dust
randomthings:runedust:14, Red Runic Dust
randomthings:runedust:15, Black Runic Dust
thermaldynamics:duct_0:0, Leadstone Fluxduct
thermaldynamics:duct_0:1, Hardened Fluxduct
thermaldynamics:duct_0:2, Redstone Energy Fluxduct
thermaldynamics:duct_0:3, Signalum Fluxduct
thermaldynamics:duct_0:4, Resonant Fluxduct
thermaldynamics:duct_0:5, Cryo-Stabilized Fluxduct
thermaldynamics:duct_0:6, Redstone Energy Fluxduct (Empty)
thermaldynamics:duct_0:7, Signalum Fluxduct (Empty)
thermaldynamics:duct_0:8, Resonant Fluxduct (Empty)
thermaldynamics:duct_0:9, Cryo-Stabilized Fluxduct (Empty)
thermaldynamics:duct_16:0, Fluiduct
thermaldynamics:duct_16:1, Fluiduct (Opaque)
thermaldynamics:duct_16:2, Hardened Fluiduct
thermaldynamics:duct_16:3, Hardened Fluiduct (Opaque)
thermaldynamics:duct_16:4, Signalum-Plated Fluiduct
thermaldynamics:duct_16:5, Signalum-Plated Fluiduct (Opaque)
thermaldynamics:duct_16:6, Super-Laminar Fluiduct
thermaldynamics:duct_16:7, Super-Laminar Fluiduct (Opaque)
thermaldynamics:duct_32:0, Vacuum Itemduct
thermaldynamics:duct_32:0, Dense Itemduct
thermaldynamics:duct_32:0, Itemduct
thermaldynamics:duct_32:1, Vacuum Itemduct (Opaque)
thermaldynamics:duct_32:1, Dense Itemduct (Opaque)
thermaldynamics:duct_32:1, Itemduct (Opaque)
thermaldynamics:duct_32:2, Vacuum Impulse Itemduct
thermaldynamics:duct_32:2, Dense Impulse Itemduct
thermaldynamics:duct_32:2, Impulse Itemduct
thermaldynamics:duct_32:3, Vacuum Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Dense Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Impulse Itemduct (Opaque)
thermaldynamics:duct_32:4, Vacuum Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Dense Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Signalum-Plated Itemduct
thermaldynamics:duct_32:5, Vacuum Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Dense Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:6, Vacuum Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Dense Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:7, Vacuum Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Dense Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_48:0, Structuralduct
thermaldynamics:duct_64:0, Viaduct
thermaldynamics:duct_64:1, Long Range Viaduct
thermaldynamics:duct_64:2, Long Range Linking Viaduct
thermaldynamics:duct_64:3, Viaduct (Untreated)
thermaldynamics:servo:0, Servo
thermaldynamics:servo:1, Hardened Servo
thermaldynamics:servo:2, Reinforced Servo
thermaldynamics:servo:3, Signalum Servo
thermaldynamics:servo:4, Resonant Servo
thermaldynamics:filter:0, Filter
thermaldynamics:filter:1, Hardened Filter
thermaldynamics:filter:2, Reinforced Filter
thermaldynamics:filter:3, Signalum Filter
thermaldynamics:filter:4, Resonant Filter
thermaldynamics:retriever:0, Retriever
thermaldynamics:retriever:1, Hardened Retriever
thermaldynamics:retriever:2, Reinforced Retriever
thermaldynamics:retriever:3, Signalum Retriever
thermaldynamics:retriever:4, Resonant Retriever
thermaldynamics:relay:0, Redstone Relay
thermaldynamics:cover:0, Stone Cover
thermaldynamics:cover:0, Granite Cover
thermaldynamics:cover:0, Polished Granite Cover
thermaldynamics:cover:0, Diorite Cover
thermaldynamics:cover:0, Polished Diorite Cover
thermaldynamics:cover:0, Andesite Cover
thermaldynamics:cover:0, Polished Andesite Cover
thermaldynamics:cover:0, Grass Block Cover
thermaldynamics:cover:0, Dirt Cover
thermaldynamics:cover:0, Coarse Dirt Cover
thermaldynamics:cover:0, Podzol Cover
thermaldynamics:cover:0, Cobblestone Cover
thermaldynamics:cover:0, Oak Wood Planks Cover
thermaldynamics:cover:0, Spruce Wood Planks Cover
thermaldynamics:cover:0, Birch Wood Planks Cover
thermaldynamics:cover:0, Jungle Wood Planks Cover
thermaldynamics:cover:0, Acacia Wood Planks Cover
thermaldynamics:cover:0, Dark Oak Wood Planks Cover
thermaldynamics:cover:0, Bedrock Cover
thermaldynamics:cover:0, Sand Cover
thermaldynamics:cover:0, Red Sand Cover
thermaldynamics:cover:0, Gravel Cover
thermaldynamics:cover:0, Gold Ore Cover
thermaldynamics:cover:0, Iron Ore Cover
thermaldynamics:cover:0, Coal Ore Cover
thermaldynamics:cover:0, Oak Wood Cover
thermaldynamics:cover:0, Spruce Wood Cover
thermaldynamics:cover:0, Birch Wood Cover
thermaldynamics:cover:0, Jungle Wood Cover
thermaldynamics:cover:0, Oak Leaves Cover
thermaldynamics:cover:0, Spruce Leaves Cover
thermaldynamics:cover:0, Birch Leaves Cover
thermaldynamics:cover:0, Jungle Leaves Cover
thermaldynamics:cover:0, Sponge Cover
thermaldynamics:cover:0, Wet Sponge Cover
thermaldynamics:cover:0, Glass Cover
thermaldynamics:cover:0, Lapis Lazuli Ore Cover
thermaldynamics:cover:0, Lapis Lazuli Block Cover
thermaldynamics:cover:0, Sandstone Cover
thermaldynamics:cover:0, Chiseled Sandstone Cover
thermaldynamics:cover:0, Smooth Sandstone Cover
thermaldynamics:cover:0, White Wool Cover
thermaldynamics:cover:0, Orange Wool Cover
thermaldynamics:cover:0, Magenta Wool Cover
thermaldynamics:cover:0, Light Blue Wool Cover
thermaldynamics:cover:0, Yellow Wool Cover
thermaldynamics:cover:0, Lime Wool Cover
thermaldynamics:cover:0, Pink Wool Cover
thermaldynamics:cover:0, Gray Wool Cover
thermaldynamics:cover:0, Light Gray Wool Cover
thermaldynamics:cover:0, Cyan Wool Cover
thermaldynamics:cover:0, Purple Wool Cover
thermaldynamics:cover:0, Blue Wool Cover
thermaldynamics:cover:0, Brown Wool Cover
thermaldynamics:cover:0, Green Wool Cover
thermaldynamics:cover:0, Red Wool Cover
thermaldynamics:cover:0, Black Wool Cover
thermaldynamics:cover:0, Block of Gold Cover
thermaldynamics:cover:0, Block of Iron Cover
thermaldynamics:cover:0, Stone Slab Cover
thermaldynamics:cover:0, Sandstone Slab Cover
thermaldynamics:cover:0, Cobblestone Slab Cover
thermaldynamics:cover:0, Bricks Slab Cover
thermaldynamics:cover:0, Stone Bricks Slab Cover
thermaldynamics:cover:0, Nether Brick Slab Cover
thermaldynamics:cover:0, Quartz Slab Cover
thermaldynamics:cover:0, Bricks Cover
thermaldynamics:cover:0, TNT Cover
thermaldynamics:cover:0, Bookshelf Cover
thermaldynamics:cover:0, Moss Stone Cover
thermaldynamics:cover:0, Obsidian Cover
thermaldynamics:cover:0, Oak Wood Stairs Cover
thermaldynamics:cover:0, Diamond Ore Cover
thermaldynamics:cover:0, Block of Diamond Cover
thermaldynamics:cover:0, Crafting Table Cover
thermaldynamics:cover:0, Cobblestone Stairs Cover
thermaldynamics:cover:0, Redstone Ore Cover
thermaldynamics:cover:0, Ice Cover
thermaldynamics:cover:0, Snow Cover
thermaldynamics:cover:0, Cactus Cover
thermaldynamics:cover:0, Clay Cover
thermaldynamics:cover:0, Pumpkin Cover
thermaldynamics:cover:0, Netherrack Cover
thermaldynamics:cover:0, Soul Sand Cover
thermaldynamics:cover:0, Glowstone Cover
thermaldynamics:cover:0, Jack o'Lantern Cover
thermaldynamics:cover:0, White Stained Glass Cover
thermaldynamics:cover:0, Orange Stained Glass Cover
thermaldynamics:cover:0, Magenta Stained Glass Cover
thermaldynamics:cover:0, Light Blue Stained Glass Cover
thermaldynamics:cover:0, Yellow Stained Glass Cover
thermaldynamics:cover:0, Lime Stained Glass Cover
thermaldynamics:cover:0, Pink Stained Glass Cover
thermaldynamics:cover:0, Gray Stained Glass Cover
thermaldynamics:cover:0, Light Gray Stained Glass Cover
thermaldynamics:cover:0, Cyan Stained Glass Cover
thermaldynamics:cover:0, Purple Stained Glass Cover
thermaldynamics:cover:0, Blue Stained Glass Cover
thermaldynamics:cover:0, Brown Stained Glass Cover
thermaldynamics:cover:0, Green Stained Glass Cover
thermaldynamics:cover:0, Red Stained Glass Cover
thermaldynamics:cover:0, Black Stained Glass Cover
thermaldynamics:cover:0, Stone Monster Egg Cover
thermaldynamics:cover:0, Cobblestone Monster Egg Cover
thermaldynamics:cover:0, Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Mossy Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Cracked Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Chiseled Stone Brick Monster Egg Cover
thermaldynamics:cover:0, Stone Bricks Cover
thermaldynamics:cover:0, Mossy Stone Bricks Cover
thermaldynamics:cover:0, Cracked Stone Bricks Cover
thermaldynamics:cover:0, Chiseled Stone Bricks Cover
thermaldynamics:cover:0, Iron Bars Cover
thermaldynamics:cover:0, Glass Pane Cover
thermaldynamics:cover:0, Melon Cover
thermaldynamics:cover:0, Brick Stairs Cover
thermaldynamics:cover:0, Stone Brick Stairs Cover
thermaldynamics:cover:0, Mycelium Cover
thermaldynamics:cover:0, Nether Brick Cover
thermaldynamics:cover:0, Nether Brick Stairs Cover
thermaldynamics:cover:0, End Portal Cover
thermaldynamics:cover:0, End Stone Cover
thermaldynamics:cover:0, Redstone Lamp Cover
thermaldynamics:cover:0, Oak Wood Slab Cover
thermaldynamics:cover:0, Spruce Wood Slab Cover
thermaldynamics:cover:0, Birch Wood Slab Cover
thermaldynamics:cover:0, Jungle Wood Slab Cover
thermaldynamics:cover:0, Acacia Wood Slab Cover
